name_long,y16,y17
Colombian Milds,1437.0,1272.0
Other Milds,1590.0,1734.0
Brazilian Naturals,3383.0,3054.0
Robustas,3520.0,2959.0
Angola,0.0,0.0
Bolivia,3.0,4.0
Brazil,3277.0,2786.0
Burundi,37.0,38.0
Cameroon,8.0,6.0
Central African Republic,0.0,0.0
"Congo, Dem. Rep. of",4.0,12.0
Colombia,1330.0,1169.0
Costa Rica,28.0,32.0
Côte d'Ivoire,114.0,130.0
Cuba,0.0,0.0
Dominican Republic,1.0,0.0
Ecuador,87.0,62.0
El Salvador,5.0,8.0
Ethiopia,215.0,283.0
Gabon,0.0,0.0
Ghana,1.0,1.0
Guatemala,58.0,70.0
Honduras,149.0,165.0
India,453.0,566.0
Indonesia,742.0,360.0
Jamaica,0.0,1.0
Kenya,60.0,50.0
Liberia,0.0,0.0
Madagascar,3.0,5.0
Malawi,3.0,1.0
Mexico,151.0,220.0
Nepal,0.0,0.0
Nicaragua,42.0,45.0
Panama,3.0,3.0
Papua New Guinea,114.0,74.0
Paraguay,0.0,0.0
Peru,585.0,625.0
Philippines,2.0,0.0
Rwanda,36.0,42.0
Sierra Leone,1.0,3.0
Tanzania,81.0,66.0
Thailand,39.0,16.0
Timor-Leste,14.0,2.0
Togo,2.0,3.0
Uganda,408.0,443.0
Venezuela,0.0,0.0
Vietnam,1844.0,1700.0
Yemen,4.0,1.0
Zambia,3.0,0.0
Zimbabwe,1.0,1.0
Others,23.0,26.0
Note: Group sub-totals take into account the corresponding share of each type of coffee exported by countries that produce and,,
"export both Arabica and Robusta in significant volumes. It should be noted that, where applicable, an Arabica/Robusta ratio of",,
50/50 has been used to convert processed coffee into Green Bean Equivalent (GBE),,
"A figure of 0 in the table can mean a volume of less than 500 bags, due to rounding. Full data in Excel format are available to paid",,
subscribers,,
Next update: 31 January 2018,,
 International Coffee Organization,,
